sepal_length,sepal_width,petal_length,petal_width,Species,with_missing
6,2.7,5.1,1.6,versicolor,-0.6307770858876004
5.4,3,4.5,1.5,versicolor,-0.3798963318172871
6,3.4,4.5,1.6,versicolor,-0.14819653120227733
6.7,3.1,4.7,1.5,versicolor,0.729812471802632
6.3,2.3,4.4,1.3,versicolor,-0.5333474366284261
5.6,3,4.1,1.3,versicolor,0.055918416029011576
5.5,2.5,4,1.3,versicolor,-2.09180733372804
5.5,2.6,4.4,1.2,versicolor,NA
6.1,3,4.6,1.4,versicolor,-0.2830680119167849
5.8,2.6,4,1.2,versicolor,1.0279913904526987
5,2.3,3.3,1,versicolor,NA
5.6,2.7,4.2,1.3,versicolor,-1.3699290464224052
5.7,3,4.2,1.2,versicolor,-0.15270544453860355
5.7,2.9,4.2,1.3,versicolor,-0.2004821775305842
6.2,2.9,4.3,1.3,versicolor,-1.153277440706882
5.1,2.5,3,1.1,versicolor,0.9905894005492094
5.7,2.8,4.1,1.3,versicolor,0.03803411336794165
6.3,3.3,6,2.5,virginica,0.28953658992747416
5.8,2.7,5.1,1.9,virginica,0.23677488893279414
7.1,3,5.9,2.1,virginica,0.5790688380570697
6.3,2.9,5.6,1.8,virginica,0.30342548078469617
6.5,3,5.8,2.2,virginica,NA
7.6,3,6.6,2.1,virginica,-1.4819123882495486
4.9,2.5,4.5,1.7,virginica,-0.9867463517361696
7.3,2.9,6.3,1.8,virginica,-0.3668172847661959
6.7,2.5,5.8,1.8,virginica,-0.5871917690318622
7.2,3.6,6.1,2.5,virginica,-0.7702115886697382
6.5,3.2,5.1,2,virginica,1.547115884299751
6.4,2.7,5.3,1.9,virginica,-1.6544922496664694
6.8,3,5.5,2.1,virginica,1.0748141054098292
5.7,2.5,5,2,virginica,-1.3387851388059835
5.8,2.8,5.1,2.4,virginica,1.121137712316442
6.4,3.2,5.3,2.3,virginica,-0.9346002183849281
6.5,3,5.5,1.8,virginica,-1.1029741993957907
7.7,3.8,6.7,2.2,virginica,-0.6949924920248638
7.7,2.6,6.9,2.3,virginica,1.2475388429220902
6,2.2,5,1.5,virginica,-0.7384085105874053
6.9,3.2,5.7,2.3,virginica,-1.3513180262876028
5.6,2.8,4.9,2,virginica,2.52061411971633
7.7,2.8,6.7,2,virginica,-1.484788375420109
6.3,2.7,4.9,1.8,virginica,-0.617706759899275
6.7,3.3,5.7,2.1,virginica,NA
7.2,3.2,6,1.8,virginica,NA
6.2,2.8,4.8,1.8,virginica,0.20289985516357123
6.1,3,4.9,1.8,virginica,-0.3939097493082309
6.4,2.8,5.6,2.1,virginica,-0.1962834300472671
7.2,3,5.8,1.6,virginica,0.2531543852520195
7.4,2.8,6.1,1.9,virginica,-0.06208235561160145
7.9,3.8,6.4,2,virginica,0.6148272454484395
6.4,2.8,5.6,2.2,virginica,0.3609215440641728
6.3,2.8,5.1,1.5,virginica,1.5189922917741523
6.1,2.6,5.6,1.4,virginica,0.12053511761930844
7.7,3,6.1,2.3,virginica,-0.9470539655501978
6.3,3.4,5.6,2.4,virginica,0.1912967918242603
6.4,3.1,5.5,1.8,virginica,0.915506115413628
6,3,4.8,1.8,virginica,-0.9894555510003713
6.9,3.1,5.4,2.1,virginica,1.8410688510971105
6.7,3.1,5.6,2.4,virginica,-0.27621430122007046
6.9,3.1,5.1,2.3,virginica,-0.8089129009801326
5.8,2.7,5.1,1.9,virginica,-1.2349481503031825
6.8,3.2,5.9,2.3,virginica,-0.25666903165922406
6.7,3.3,5.7,2.5,virginica,1.1232476689929503
6.7,3,5.2,2.3,virginica,0.2977654756606175
6.3,2.5,5,1.9,virginica,NA
6.5,3,5.2,2,virginica,-1.799914855195177
6.2,3.4,5.4,2.3,virginica,NA
5.9,3,5.1,1.8,virginica,-0.8966443962611865
