,country,year,life_expectancy
174,Papua New Guinea,1800,31.5
175,Paraguay,1800,35.5
176,Peru,1800,35.7
177,Philippines,1800,30.9
179,Poland,1800,35.9
180,Portugal,1800,35.6
181,Puerto Rico,1800,30.43
182,Qatar,1800,30.8
183,Reunion,1800,33.0
184,Romania,1800,35.7
185,Russia,1800,29.57
186,Rwanda,1800,31.8
187,Samoa,1800,25.4
189,Sao Tome and Principe,1800,31.0
190,Saudi Arabia,1800,32.1
191,Senegal,1800,25.2
192,Serbia,1800,35.5
195,Seychelles,1800,37.0
196,Sierra Leone,1800,25.1
197,Singapore,1800,29.1
198,Slovak Republic,1800,36.4
199,Slovenia,1800,36.6
200,Solomon Islands,1800,25.1
201,Somalia,1800,29.4
203,South Africa,1800,33.5
204,South Korea,1800,25.8
206,South Sudan,1800,26.67
208,Spain,1800,29.5
209,Sri Lanka,1800,32.6
214,St. Lucia,1800,28.01
216,St. Vincent and the Grenadines,1800,25.99
217,Sudan,1800,31.4
218,Suriname,1800,32.9
220,Swaziland,1800,32.3
221,Sweden,1800,32.16
222,Switzerland,1800,38.0
223,Syria,1800,31.1
224,Taiwan,1800,28.3
225,Tajikistan,1800,24.24
226,Tanzania,1800,32.2
227,Thailand,1800,30.4
228,Timor-Leste,1800,28.95
229,Togo,1800,31.3
231,Tonga,1800,28.2
233,Trinidad and Tobago,1800,32.9
234,Tunisia,1800,28.8
235,Turkey,1800,35.0
236,Turkmenistan,1800,24.0
239,Uganda,1800,25.3
240,Ukraine,1800,36.6
241,United Arab Emirates,1800,30.7
242,United Kingdom,1800,38.65
244,United States,1800,39.41
245,Uruguay,1800,32.9
247,Uzbekistan,1800,26.93
248,Vanuatu,1800,24.3
249,Venezuela,1800,32.2
250,Vietnam,1800,32.0
251,Virgin Islands (U.S.),1800,33.4
253,West Bank and Gaza,1800,32.1
255,Western Sahara,1800,34.75
256,Yemen,1800,23.39
258,Zambia,1800,32.6
259,Zimbabwe,1800,33.7
781,Afghanistan,1801,28.2
784,Albania,1801,35.4
785,Algeria,1801,28.82
788,Angola,1801,26.98
790,Antigua and Barbuda,1801,33.54
791,Argentina,1801,33.2
792,Armenia,1801,34.0
793,Aruba,1801,34.42
794,Australia,1801,34.05
795,Austria,1801,34.4
796,Azerbaijan,1801,29.17
797,Bahamas,1801,35.18
798,Bahrain,1801,30.3
799,Bangladesh,1801,25.5
800,Barbados,1801,32.12
801,Belarus,1801,36.2
802,Belgium,1801,40.01
803,Belize,1801,26.5
804,Benin,1801,31.0
806,Bhutan,1801,28.8
807,Bolivia,1801,33.0
808,Bosnia and Herzegovina,1801,35.1
809,Botswana,1801,33.6
810,Brazil,1801,32.0
812,Brunei,1801,29.2
813,Bulgaria,1801,35.84
814,Burkina Faso,1801,29.2
815,Burundi,1801,31.5
816,Cambodia,1801,35.0
817,Cameroon,1801,28.75
818,Canada,1801,39.0
819,Cape Verde,1801,33.8
821,Central African Republic,1801,30.0
822,Chad,1801,30.9
824,Chile,1801,32.0
825,China,1801,32.0
828,Colombia,1801,32.0
829,Comoros,1801,32.1
830,"Congo, Dem. Rep.",1801,31.6
831,"Congo, Rep.",1801,32.7
833,Costa Rica,1801,30.21
834,Cote d'Ivoire,1801,31.16
835,Croatia,1801,36.1
836,Cuba,1801,32.33
837,Cyprus,1801,38.5
838,Czech Republic,1801,34.95
840,Denmark,1801,38.51
841,Djibouti,1801,29.9
843,Dominican Republic,1801,29.9
845,Ecuador,1801,32.9
846,Egypt,1801,33.0
847,El Salvador,1801,28.7
848,Equatorial Guinea,1801,29.8
849,Eritrea,1801,30.2
851,Estonia,1801,35.7
852,Ethiopia,1801,29.7
855,Fiji,1801,26.1
856,Finland,1801,40.3
857,France,1801,36.37
858,French Guiana,1801,30.5
859,French Polynesia,1801,25.6
860,Gabon,1801,30.6
861,Gambia,1801,28.8
862,Georgia,1801,31.87
863,Germany,1801,38.37
864,Ghana,1801,28.0
866,Greece,1801,36.6
867,Greenland,1801,33.87
868,Grenada,1801,31.4
869,Guadeloupe,1801,27.66
870,Guam,1801,27.5
871,Guatemala,1801,25.8
873,Guinea,1801,29.51
874,Guinea-Bissau,1801,32.0
875,Guyana,1801,31.12
876,Haiti,1801,29.0
878,Honduras,1801,33.9
879,"Hong Kong, China",1801,34.9
880,Hungary,1801,36.0
881,Iceland,1801,33.88
882,India,1801,25.44
883,Indonesia,1801,30.0
884,Iran,1801,25.6
885,Iraq,1801,31.2
886,Ireland,1801,38.3
888,Israel,1801,32.0
889,Italy,1801,29.69
890,Jamaica,1801,34.2
891,Japan,1801,36.4
893,Jordan,1801,31.7
894,Kazakhstan,1801,26.2
895,Kenya,1801,25.5
896,Kiribati,1801,24.9
898,Kuwait,1801,26.0
899,Kyrgyz Republic,1801,23.94
900,Lao,1801,31.9
901,Latvia,1801,33.0
902,Lebanon,1801,29.7
903,Lesotho,1801,32.8
904,Liberia,1801,31.1
905,Libya,1801,33.1
907,Lithuania,1801,28.9
908,Luxembourg,1801,36.9
909,"Macao, China",1801,34.7
910,"Macedonia, FYR",1801,36.1
911,Madagascar,1801,30.5
912,Malawi,1801,30.3
913,Malaysia,1801,30.6
914,Maldives,1801,32.65
915,Mali,1801,26.41
916,Malta,1801,28.7
918,Martinique,1801,30.15
919,Mauritania,1801,32.0
920,Mauritius,1801,28.7
921,Mayotte,1801,32.5
922,Mexico,1801,26.9
923,"Micronesia, Fed. Sts.",1801,26.7
924,Moldova,1801,33.15
926,Mongolia,1801,31.8
927,Montenegro,1801,35.4
929,Morocco,1801,33.1
930,Mozambique,1801,30.28
931,Myanmar,1801,30.8
932,Namibia,1801,32.4
934,Nepal,1801,32.8
935,Netherlands,1801,39.86
936,Netherlands Antilles,1801,34.41
937,New Caledonia,1801,26.0
938,New Zealand,1801,34.05
940,Nicaragua,1801,25.4
941,Niger,1801,30.8
942,Nigeria,1801,30.4
945,North Korea,1801,26.0
949,Norway,1801,35.82
950,Oman,1801,32.3
951,Pakistan,1801,25.8
953,Panama,1801,32.9
954,Papua New Guinea,1801,31.5
955,Paraguay,1801,35.5
956,Peru,1801,35.7
957,Philippines,1801,30.9
959,Poland,1801,35.9
960,Portugal,1801,35.6
961,Puerto Rico,1801,30.43
962,Qatar,1801,30.8
963,Reunion,1801,33.0
964,Romania,1801,35.7
965,Russia,1801,29.57
966,Rwanda,1801,25.0
967,Samoa,1801,25.4
969,Sao Tome and Principe,1801,31.0
970,Saudi Arabia,1801,32.1
971,Senegal,1801,25.2
972,Serbia,1801,35.5
975,Seychelles,1801,37.0
976,Sierra Leone,1801,25.1
977,Singapore,1801,29.1
978,Slovak Republic,1801,36.4
979,Slovenia,1801,36.6
980,Solomon Islands,1801,25.1
981,Somalia,1801,29.4
983,South Africa,1801,33.5
984,South Korea,1801,25.8
986,South Sudan,1801,26.67
988,Spain,1801,29.5
989,Sri Lanka,1801,32.6
994,St. Lucia,1801,28.01
996,St. Vincent and the Grenadines,1801,25.99
997,Sudan,1801,31.4
998,Suriname,1801,32.9
1000,Swaziland,1801,32.3
1001,Sweden,1801,36.9
1002,Switzerland,1801,38.0
1003,Syria,1801,31.1
1004,Taiwan,1801,28.3
1005,Tajikistan,1801,24.24
1006,Tanzania,1801,32.2
1007,Thailand,1801,30.4
1008,Timor-Leste,1801,28.95
1009,Togo,1801,31.3
1011,Tonga,1801,28.2
1013,Trinidad and Tobago,1801,32.9
1014,Tunisia,1801,28.8
1015,Turkey,1801,35.0
1016,Turkmenistan,1801,24.0
1019,Uganda,1801,25.3
1020,Ukraine,1801,36.6
1021,United Arab Emirates,1801,30.7
1022,United Kingdom,1801,37.35
1024,United States,1801,39.41
1025,Uruguay,1801,32.9
1027,Uzbekistan,1801,26.93
1028,Vanuatu,1801,24.3
1029,Venezuela,1801,32.2
1030,Vietnam,1801,32.0
1031,Virgin Islands (U.S.),1801,33.4
1033,West Bank and Gaza,1801,32.1
1035,Western Sahara,1801,34.75
1036,Yemen,1801,23.39
1038,Zambia,1801,32.6
1039,Zimbabwe,1801,33.7
1561,Afghanistan,1802,28.19
1564,Albania,1802,35.4
1565,Algeria,1802,28.82
1568,Angola,1802,26.98
1570,Antigua and Barbuda,1802,33.54
1571,Argentina,1802,33.2
1572,Armenia,1802,34.0
1573,Aruba,1802,34.42
1574,Australia,1802,34.05
1575,Austria,1802,34.4
1576,Azerbaijan,1802,29.17
1577,Bahamas,1802,35.18
1578,Bahrain,1802,30.3
1579,Bangladesh,1802,25.5
1580,Barbados,1802,32.12
1581,Belarus,1802,36.2
1582,Belgium,1802,40.02
1583,Belize,1802,26.5
1584,Benin,1802,31.0
1586,Bhutan,1802,28.8
1587,Bolivia,1802,33.0
1588,Bosnia and Herzegovina,1802,35.1
1589,Botswana,1802,33.6
1590,Brazil,1802,32.0
1592,Brunei,1802,29.2
1593,Bulgaria,1802,35.89
1594,Burkina Faso,1802,29.2
1595,Burundi,1802,31.5
1596,Cambodia,1802,35.0
1597,Cameroon,1802,28.75
1598,Canada,1802,39.0
1599,Cape Verde,1802,33.8
1601,Central African Republic,1802,30.0
1602,Chad,1802,30.9
1604,Chile,1802,32.0
1605,China,1802,32.0
1608,Colombia,1802,32.0
1609,Comoros,1802,32.1
1610,"Congo, Dem. Rep.",1802,31.6
1611,"Congo, Rep.",1802,32.7
1613,Costa Rica,1802,30.21
1614,Cote d'Ivoire,1802,31.16
1615,Croatia,1802,36.1
1616,Cuba,1802,32.45
1617,Cyprus,1802,38.5
1618,Czech Republic,1802,34.95
1620,Denmark,1802,44.37
1621,Djibouti,1802,29.9
1623,Dominican Republic,1802,29.9
1625,Ecuador,1802,32.9
1626,Egypt,1802,33.0
1627,El Salvador,1802,28.7
1628,Equatorial Guinea,1802,29.8
1629,Eritrea,1802,30.2
1631,Estonia,1802,35.26
1632,Ethiopia,1802,29.7
1635,Fiji,1802,26.1
1636,Finland,1802,39.2
1637,France,1802,34.38
1638,French Guiana,1802,30.5
1639,French Polynesia,1802,25.6
1640,Gabon,1802,30.6
1641,Gambia,1802,28.8
1642,Georgia,1802,31.87
1643,Germany,1802,38.37
1644,Ghana,1802,28.0
1646,Greece,1802,36.6
1647,Greenland,1802,33.87
1648,Grenada,1802,31.4
1649,Guadeloupe,1802,27.66
1650,Guam,1802,27.5
1651,Guatemala,1802,25.8
1653,Guinea,1802,29.52
1654,Guinea-Bissau,1802,32.0
1655,Guyana,1802,31.12
1656,Haiti,1802,29.0
1658,Honduras,1802,33.9
1659,"Hong Kong, China",1802,34.9
1660,Hungary,1802,36.0
1661,Iceland,1802,27.62
1662,India,1802,25.0
1663,Indonesia,1802,30.0
1664,Iran,1802,25.6
1665,Iraq,1802,31.2
1666,Ireland,1802,38.3
1668,Israel,1802,32.0
1669,Italy,1802,29.69
1670,Jamaica,1802,34.2
1671,Japan,1802,36.4
1673,Jordan,1802,31.7
1674,Kazakhstan,1802,26.2
1675,Kenya,1802,25.5
1676,Kiribati,1802,24.9
1678,Kuwait,1802,26.0
1679,Kyrgyz Republic,1802,23.94
1680,Lao,1802,31.9
1681,Latvia,1802,33.0
1682,Lebanon,1802,29.7
1683,Lesotho,1802,32.8
1684,Liberia,1802,31.1
1685,Libya,1802,33.1
1687,Lithuania,1802,28.9
1688,Luxembourg,1802,36.9
1689,"Macao, China",1802,34.7
1690,"Macedonia, FYR",1802,36.1
1691,Madagascar,1802,30.5
1692,Malawi,1802,30.3
1693,Malaysia,1802,30.6
1694,Maldives,1802,32.65
1695,Mali,1802,26.41
1696,Malta,1802,28.7
1698,Martinique,1802,30.15
1699,Mauritania,1802,32.0
1700,Mauritius,1802,28.7
1701,Mayotte,1802,32.5
1702,Mexico,1802,26.9
1703,"Micronesia, Fed. Sts.",1802,26.7
1704,Moldova,1802,33.15
1706,Mongolia,1802,31.8
1707,Montenegro,1802,35.4
1709,Morocco,1802,33.1
1710,Mozambique,1802,30.28
1711,Myanmar,1802,30.8
1712,Namibia,1802,32.4
1714,Nepal,1802,32.8
1715,Netherlands,1802,39.86
1716,Netherlands Antilles,1802,34.41
1717,New Caledonia,1802,26.0
1718,New Zealand,1802,34.05
1720,Nicaragua,1802,25.4
1721,Niger,1802,30.8
1722,Nigeria,1802,30.4
1725,North Korea,1802,26.0
1729,Norway,1802,38.37
1730,Oman,1802,32.3
1731,Pakistan,1802,25.8
1733,Panama,1802,32.9
1734,Papua New Guinea,1802,31.5
1735,Paraguay,1802,35.5
1736,Peru,1802,35.7
1737,Philippines,1802,30.9
1739,Poland,1802,35.9
1740,Portugal,1802,35.6
1741,Puerto Rico,1802,30.43
1742,Qatar,1802,30.8
1743,Reunion,1802,33.0
1744,Romania,1802,35.7
1745,Russia,1802,29.57
1746,Rwanda,1802,25.0
1747,Samoa,1802,25.4
1749,Sao Tome and Principe,1802,31.0
1750,Saudi Arabia,1802,32.1
1751,Senegal,1802,25.2
1752,Serbia,1802,35.5
1755,Seychelles,1802,37.0
1756,Sierra Leone,1802,25.1
1757,Singapore,1802,29.1
1758,Slovak Republic,1802,36.4
1759,Slovenia,1802,36.6
1760,Solomon Islands,1802,25.1
1761,Somalia,1802,29.4
1763,South Africa,1802,33.5
1764,South Korea,1802,25.8
1766,South Sudan,1802,26.67
1768,Spain,1802,29.5
1769,Sri Lanka,1802,32.6
1774,St. Lucia,1802,28.01
1776,St. Vincent and the Grenadines,1802,25.99
1777,Sudan,1802,31.4
1778,Suriname,1802,32.9
1780,Swaziland,1802,32.3
1781,Sweden,1802,40.2
1782,Switzerland,1802,38.0
1783,Syria,1802,31.1
1784,Taiwan,1802,28.3
1785,Tajikistan,1802,24.24
1786,Tanzania,1802,32.2
1787,Thailand,1802,30.4
1788,Timor-Leste,1802,28.95
1789,Togo,1802,31.3
1791,Tonga,1802,28.2
1793,Trinidad and Tobago,1802,32.9
1794,Tunisia,1802,28.8
1795,Turkey,1802,35.0
1796,Turkmenistan,1802,24.0
1799,Uganda,1802,25.3
1800,Ukraine,1802,36.6
1801,United Arab Emirates,1802,30.7
1802,United Kingdom,1802,38.62
1804,United States,1802,39.41
1805,Uruguay,1802,32.9
1807,Uzbekistan,1802,26.93
1808,Vanuatu,1802,24.3
1809,Venezuela,1802,32.2
1810,Vietnam,1802,32.0
1811,Virgin Islands (U.S.),1802,33.4
1813,West Bank and Gaza,1802,32.1
1815,Western Sahara,1802,34.75
1816,Yemen,1802,23.39
1818,Zambia,1802,32.6
1819,Zimbabwe,1802,33.7
2341,Afghanistan,1803,28.18
2344,Albania,1803,35.4
2345,Algeria,1803,28.82
2348,Angola,1803,26.98
2350,Antigua and Barbuda,1803,33.54
2351,Argentina,1803,33.2
2352,Armenia,1803,34.0
2353,Aruba,1803,34.42
2354,Australia,1803,34.05
2355,Austria,1803,34.4
2356,Azerbaijan,1803,29.17
2357,Bahamas,1803,35.18
2358,Bahrain,1803,30.3
2359,Bangladesh,1803,25.5
2360,Barbados,1803,32.12
2361,Belarus,1803,36.2
2362,Belgium,1803,40.02
2363,Belize,1803,26.5
2364,Benin,1803,31.0
2366,Bhutan,1803,28.8
2367,Bolivia,1803,33.0
2368,Bosnia and Herzegovina,1803,35.1
2369,Botswana,1803,33.6
2370,Brazil,1803,32.0
2372,Brunei,1803,29.2
2373,Bulgaria,1803,35.93
2374,Burkina Faso,1803,29.2
2375,Burundi,1803,31.5
2376,Cambodia,1803,35.0
2377,Cameroon,1803,28.75
2378,Canada,1803,39.0
2379,Cape Verde,1803,33.8
2381,Central African Republic,1803,30.0
2382,Chad,1803,30.9
2384,Chile,1803,32.0
2385,China,1803,32.0
2388,Colombia,1803,32.0
2389,Comoros,1803,32.1
2390,"Congo, Dem. Rep.",1803,31.6
2391,"Congo, Rep.",1803,32.7
2393,Costa Rica,1803,30.21
2394,Cote d'Ivoire,1803,31.16
2395,Croatia,1803,36.1
2396,Cuba,1803,32.58
2397,Cyprus,1803,38.5
2398,Czech Republic,1803,34.95
2400,Denmark,1803,44.84
2401,Djibouti,1803,29.9
2403,Dominican Republic,1803,29.9
2405,Ecuador,1803,32.9
2406,Egypt,1803,33.0
2407,El Salvador,1803,28.7
2408,Equatorial Guinea,1803,29.8
2409,Eritrea,1803,30.2
2411,Estonia,1803,34.82
2412,Ethiopia,1803,29.7
2415,Fiji,1803,26.1
2416,Finland,1803,28.53
2417,France,1803,30.64
2418,French Guiana,1803,30.5
2419,French Polynesia,1803,25.6
2420,Gabon,1803,30.6
2421,Gambia,1803,28.8
2422,Georgia,1803,31.87
2423,Germany,1803,38.37
2424,Ghana,1803,28.0
2426,Greece,1803,36.6
2427,Greenland,1803,33.87
2428,Grenada,1803,31.4
2429,Guadeloupe,1803,27.66
2430,Guam,1803,27.5
2431,Guatemala,1803,25.8
2433,Guinea,1803,29.53
2434,Guinea-Bissau,1803,32.0
2435,Guyana,1803,31.12
2436,Haiti,1803,29.0
2438,Honduras,1803,33.9
2439,"Hong Kong, China",1803,34.9
2440,Hungary,1803,36.0
2441,Iceland,1803,19.6
2442,India,1803,24.0
2443,Indonesia,1803,30.0
2444,Iran,1803,25.6
2445,Iraq,1803,31.2
2446,Ireland,1803,38.3
2448,Israel,1803,32.0
2449,Italy,1803,29.69
2450,Jamaica,1803,34.2
2451,Japan,1803,36.4
2453,Jordan,1803,31.7
2454,Kazakhstan,1803,26.2
2455,Kenya,1803,25.5
2456,Kiribati,1803,24.9
2458,Kuwait,1803,26.0
2459,Kyrgyz Republic,1803,23.94
2460,Lao,1803,31.9
2461,Latvia,1803,33.0
2462,Lebanon,1803,29.7
2463,Lesotho,1803,32.8
2464,Liberia,1803,31.1
2465,Libya,1803,33.1
2467,Lithuania,1803,28.9
2468,Luxembourg,1803,36.9
2469,"Macao, China",1803,34.7
2470,"Macedonia, FYR",1803,36.1
2471,Madagascar,1803,30.5
2472,Malawi,1803,30.3
2473,Malaysia,1803,30.6
2474,Maldives,1803,32.65
2475,Mali,1803,26.41
2476,Malta,1803,28.7
2478,Martinique,1803,30.15
2479,Mauritania,1803,32.0
2480,Mauritius,1803,28.7
2481,Mayotte,1803,32.5
2482,Mexico,1803,26.9
2483,"Micronesia, Fed. Sts.",1803,26.7
2484,Moldova,1803,33.15
2486,Mongolia,1803,31.8
2487,Montenegro,1803,35.4
2489,Morocco,1803,33.1
2490,Mozambique,1803,30.28
2491,Myanmar,1803,30.8
2492,Namibia,1803,32.4
2494,Nepal,1803,32.8
2495,Netherlands,1803,39.86
2496,Netherlands Antilles,1803,34.41
2497,New Caledonia,1803,26.0
2498,New Zealand,1803,34.05
2500,Nicaragua,1803,25.4
2501,Niger,1803,30.8
2502,Nigeria,1803,30.4
2505,North Korea,1803,26.0
2509,Norway,1803,38.72
2510,Oman,1803,32.3
2511,Pakistan,1803,25.8
2513,Panama,1803,32.9
2514,Papua New Guinea,1803,31.5
2515,Paraguay,1803,35.5
2516,Peru,1803,35.7
2517,Philippines,1803,30.9
2519,Poland,1803,35.9
2520,Portugal,1803,35.6
2521,Puerto Rico,1803,30.43
2522,Qatar,1803,30.8
2523,Reunion,1803,33.0
2524,Romania,1803,35.7
2525,Russia,1803,29.57
2526,Rwanda,1803,31.8
2527,Samoa,1803,25.4
2529,Sao Tome and Principe,1803,31.0
2530,Saudi Arabia,1803,32.1
2531,Senegal,1803,25.2
2532,Serbia,1803,35.5
2535,Seychelles,1803,37.0
2536,Sierra Leone,1803,25.1
2537,Singapore,1803,29.1
2538,Slovak Republic,1803,36.4
2539,Slovenia,1803,36.6
2540,Solomon Islands,1803,25.1
2541,Somalia,1803,29.4
2543,South Africa,1803,33.5
2544,South Korea,1803,25.8
2546,South Sudan,1803,26.67
2548,Spain,1803,29.5
2549,Sri Lanka,1803,32.6
2554,St. Lucia,1803,28.01
2556,St. Vincent and the Grenadines,1803,25.99
2557,Sudan,1803,31.4
2558,Suriname,1803,32.9
2560,Swaziland,1803,32.3
2561,Sweden,1803,40.28
2562,Switzerland,1803,38.0
2563,Syria,1803,31.1
2564,Taiwan,1803,28.3
2565,Tajikistan,1803,24.24
2566,Tanzania,1803,32.2
2567,Thailand,1803,30.4
2568,Timor-Leste,1803,28.95
2569,Togo,1803,31.3
2571,Tonga,1803,28.2
2573,Trinidad and Tobago,1803,32.9
2574,Tunisia,1803,28.8
2575,Turkey,1803,35.0
2576,Turkmenistan,1803,24.0
2579,Uganda,1803,25.3
2580,Ukraine,1803,36.6
2581,United Arab Emirates,1803,30.7
2582,United Kingdom,1803,37.32
2584,United States,1803,39.41
2585,Uruguay,1803,32.9
2587,Uzbekistan,1803,26.93
2588,Vanuatu,1803,24.3
2589,Venezuela,1803,32.2
2590,Vietnam,1803,32.0
2591,Virgin Islands (U.S.),1803,33.4
2593,West Bank and Gaza,1803,32.1
2595,Western Sahara,1803,34.75
2596,Yemen,1803,23.39
2598,Zambia,1803,32.6
2599,Zimbabwe,1803,33.7
3121,Afghanistan,1804,28.17
3124,Albania,1804,35.4
3125,Algeria,1804,28.82
3128,Angola,1804,26.98
3130,Antigua and Barbuda,1804,33.54
3131,Argentina,1804,33.2
3132,Armenia,1804,34.0
3133,Aruba,1804,34.42
3134,Australia,1804,34.05
3135,Austria,1804,34.4
3136,Azerbaijan,1804,29.17
3137,Bahamas,1804,35.18
3138,Bahrain,1804,30.3
3139,Bangladesh,1804,25.5
3140,Barbados,1804,32.12
3141,Belarus,1804,36.2
3142,Belgium,1804,40.03
3143,Belize,1804,26.5
3144,Benin,1804,31.0
3146,Bhutan,1804,28.8
3147,Bolivia,1804,33.0
3148,Bosnia and Herzegovina,1804,35.1
3149,Botswana,1804,33.6
3150,Brazil,1804,32.0
3152,Brunei,1804,29.2
3153,Bulgaria,1804,35.98
3154,Burkina Faso,1804,29.2
3155,Burundi,1804,31.5
3156,Cambodia,1804,35.0
3157,Cameroon,1804,28.75
3158,Canada,1804,39.01
3159,Cape Verde,1804,33.8
3161,Central African Republic,1804,30.0
3162,Chad,1804,30.9
3164,Chile,1804,32.0
3165,China,1804,32.0
3168,Colombia,1804,32.0
3169,Comoros,1804,32.1
3170,"Congo, Dem. Rep.",1804,31.6
3171,"Congo, Rep.",1804,32.7
3173,Costa Rica,1804,30.21
3174,Cote d'Ivoire,1804,31.16
3175,Croatia,1804,36.1
3176,Cuba,1804,32.7
3177,Cyprus,1804,38.5
3178,Czech Republic,1804,34.95
3180,Denmark,1804,42.83
3181,Djibouti,1804,29.9
3183,Dominican Republic,1804,29.9
3185,Ecuador,1804,32.9
3186,Egypt,1804,33.0
3187,El Salvador,1804,28.7
3188,Equatorial Guinea,1804,29.8
3189,Eritrea,1804,30.2
3191,Estonia,1804,34.37
3192,Ethiopia,1804,29.7
3195,Fiji,1804,26.1
3196,Finland,1804,35.91
3197,France,1804,29.38
3198,French Guiana,1804,30.5
3199,French Polynesia,1804,25.6
3200,Gabon,1804,30.6
3201,Gambia,1804,28.8
3202,Georgia,1804,31.87
3203,Germany,1804,38.37
3204,Ghana,1804,28.0
3206,Greece,1804,36.6
3207,Greenland,1804,33.87
3208,Grenada,1804,31.4
3209,Guadeloupe,1804,27.66
3210,Guam,1804,27.5
3211,Guatemala,1804,25.8
3213,Guinea,1804,29.54
3214,Guinea-Bissau,1804,32.0
3215,Guyana,1804,31.12
3216,Haiti,1804,29.0
3218,Honduras,1804,33.9
3219,"Hong Kong, China",1804,34.9
3220,Hungary,1804,36.0
3221,Iceland,1804,24.76
3222,India,1804,23.5
3223,Indonesia,1804,30.0
3224,Iran,1804,25.6
3225,Iraq,1804,31.2
3226,Ireland,1804,38.3
3228,Israel,1804,32.0
3229,Italy,1804,29.69
3230,Jamaica,1804,34.2
3231,Japan,1804,36.4
3233,Jordan,1804,31.7
3234,Kazakhstan,1804,26.2
3235,Kenya,1804,25.5
3236,Kiribati,1804,24.9
