"","pclass","sex","age","sibsp","parch","fare","embarked","survived"
"43",1,0,59,2,0,51.4792,3,"survived"
"44",1,0,60,0,0,76.2917,1,"survived"
"45",1,0,41,0,0,134.5,1,"survived"
"46",1,1,45,0,0,26.55,3,"dead"
"47",1,1,0,0,0,31,3,"dead"
"48",1,1,42,0,0,26.2875,3,"survived"
"49",1,0,53,0,0,27.4458,1,"survived"
"50",1,1,36,0,1,512.3292,1,"survived"
"51",1,0,58,0,1,512.3292,1,"survived"
"52",1,1,33,0,0,5,3,"dead"
"53",1,1,28,0,0,47.1,3,"dead"
"54",1,1,17,0,0,47.1,3,"dead"
"55",1,1,11,1,2,120,3,"survived"
"56",1,0,14,1,2,120,3,"survived"
"57",1,1,36,1,2,120,3,"survived"
"58",1,0,36,1,2,120,3,"survived"
"59",1,1,49,0,0,26,3,"dead"
"60",1,0,0,0,0,27.7208,1,"survived"
"61",1,1,36,1,0,78.85,3,"dead"
"62",1,0,76,1,0,78.85,3,"survived"
"63",1,1,46,1,0,61.175,3,"dead"
"64",1,0,47,1,0,61.175,3,"survived"
"65",1,1,27,1,0,53.1,3,"survived"
"66",1,0,33,1,0,53.1,3,"survived"
"67",1,0,36,0,0,262.375,1,"survived"
"68",1,0,30,0,0,86.5,3,"survived"
"69",1,1,45,0,0,29.7,1,"survived"
"70",1,0,0,0,1,55,3,"survived"
"71",1,1,0,0,0,0,3,"dead"
"72",1,1,27,1,0,136.7792,1,"dead"
"73",1,0,26,1,0,136.7792,1,"survived"
"74",1,0,22,0,0,151.55,3,"survived"
"75",1,1,0,0,0,52,3,"dead"
"76",1,1,47,0,0,25.5875,3,"dead"
"77",1,0,39,1,1,83.1583,1,"survived"
"78",1,1,37,1,1,83.1583,1,"dead"
"79",1,0,64,0,2,83.1583,1,"survived"
"80",1,0,55,2,0,25.7,3,"survived"
"81",1,1,0,0,0,26.55,3,"dead"
"82",1,1,70,1,1,71,3,"dead"
"83",1,0,36,0,2,71,3,"survived"
"84",1,0,64,1,1,26.55,3,"survived"
"85",1,1,39,1,0,71.2833,1,"dead"
"86",1,0,38,1,0,71.2833,1,"survived"
"87",1,1,51,0,0,26.55,3,"survived"
"88",1,1,27,0,0,30.5,3,"survived"
"89",1,0,33,0,0,151.55,3,"survived"
"90",1,1,31,1,0,52,3,"dead"
"91",1,0,27,1,2,52,3,"survived"
"92",1,1,31,1,0,57,3,"survived"
"93",1,0,17,1,0,57,3,"survived"
"94",1,1,53,1,1,81.8583,3,"survived"
"95",1,1,4,0,2,81.8583,3,"survived"
"96",1,0,54,1,1,81.8583,3,"survived"
"97",1,1,50,1,0,106.425,1,"dead"
"98",1,0,27,1,1,247.5208,1,"survived"
"99",1,0,48,1,0,106.425,1,"survived"
"100",1,0,48,1,0,39.6,1,"survived"
"101",1,1,49,1,0,56.9292,1,"survived"
"102",1,1,39,0,0,29.7,1,"dead"
"103",1,0,23,0,1,83.1583,1,"survived"
"104",1,0,38,0,0,227.525,1,"survived"
"105",1,0,54,1,0,78.2667,1,"survived"
"106",1,0,36,0,0,31.6792,1,"dead"
"107",1,1,0,0,0,221.7792,3,"dead"
"108",1,0,0,0,0,31.6833,3,"survived"
"109",1,0,0,0,0,110.8833,1,"survived"
"110",1,1,36,0,0,26.3875,3,"survived"
"111",1,1,30,0,0,27.75,1,"dead"
"112",1,0,24,3,2,263,3,"survived"
"113",1,0,28,3,2,263,3,"survived"
"114",1,0,23,3,2,263,3,"survived"
"115",1,1,19,3,2,263,3,"dead"
"116",1,1,64,1,4,263,3,"dead"
"117",1,0,60,1,4,263,3,"survived"
"118",1,0,30,0,0,56.9292,1,"survived"
"119",1,1,0,0,0,26.55,3,"dead"
"120",1,1,50,2,0,133.65,3,"survived"
"121",1,1,43,1,0,27.7208,1,"survived"
"122",1,0,0,1,0,133.65,3,"survived"
"123",1,0,22,0,2,49.5,1,"survived"
"124",1,1,60,1,1,79.2,1,"survived"
"125",1,0,48,1,1,79.2,1,"survived"
"126",1,1,0,0,0,0,3,"dead"
"127",1,1,37,1,0,53.1,3,"dead"
"128",1,0,35,1,0,53.1,3,"survived"
"129",1,1,47,0,0,38.5,3,"dead"
"130",1,0,35,0,0,211.5,1,"survived"
"131",1,0,22,0,1,59.4,1,"survived"
"132",1,0,45,0,1,59.4,1,"survived"
"133",1,1,24,0,0,79.2,1,"dead"
"134",1,1,49,1,0,89.1042,1,"survived"
"135",1,0,0,1,0,89.1042,1,"survived"
"136",1,1,71,0,0,34.6542,1,"dead"
"137",1,1,53,0,0,28.5,1,"survived"
"138",1,0,19,0,0,30,3,"survived"
"139",1,1,38,0,1,153.4625,3,"dead"
"140",1,0,58,0,1,153.4625,3,"survived"
"141",1,1,23,0,1,63.3583,1,"survived"
"142",1,0,45,0,1,63.3583,1,"survived"
"143",1,1,46,0,0,79.2,1,"dead"
"144",1,1,25,1,0,55.4417,1,"survived"
"145",1,0,25,1,0,55.4417,1,"survived"
"146",1,1,48,1,0,76.7292,1,"survived"
"147",1,0,49,1,0,76.7292,1,"survived"
"148",1,1,0,0,0,42.4,3,"dead"
"149",1,1,45,1,0,83.475,3,"dead"
"150",1,0,35,1,0,83.475,3,"survived"
"151",1,1,40,0,0,0,3,"dead"
"152",1,1,27,0,0,76.7292,1,"survived"
"153",1,1,0,0,0,30,3,"survived"
"154",1,0,24,0,0,83.1583,1,"survived"
"155",1,1,55,1,1,93.5,3,"dead"
"156",1,0,52,1,1,93.5,3,"survived"
"157",1,1,42,0,0,42.5,3,"dead"
"158",1,1,0,0,0,51.8625,3,"dead"
"159",1,1,55,0,0,50,3,"dead"
"160",1,0,16,0,1,57.9792,1,"survived"
"161",1,0,44,0,1,57.9792,1,"survived"
"162",1,0,51,1,0,77.9583,3,"survived"
"163",1,1,42,1,0,52,3,"dead"
"164",1,0,35,1,0,52,3,"survived"
"165",1,1,35,0,0,26.55,1,"survived"
"166",1,1,38,1,0,90,3,"survived"
"167",1,1,0,0,0,30.6958,1,"dead"
"168",1,0,35,1,0,90,3,"survived"
"169",1,0,50,0,0,28.7125,1,"dead"
"170",1,1,49,0,0,0,3,"survived"
"171",1,1,46,0,0,26,3,"dead"
"172",1,1,50,0,0,26,3,"dead"
"173",1,1,32.5,0,0,211.5,1,"dead"
"174",1,1,58,0,0,29.7,1,"dead"
"175",1,1,41,1,0,51.8625,3,"dead"
"176",1,0,0,1,0,51.8625,3,"survived"
"177",1,1,42,1,0,52.5542,3,"survived"
"178",1,0,45,1,0,52.5542,3,"survived"
"179",1,1,0,0,0,26.55,3,"dead"
"180",1,0,39,0,0,211.3375,3,"survived"
"181",1,0,49,0,0,25.9292,3,"survived"
"182",1,0,30,0,0,106.425,1,"survived"
"183",1,1,35,0,0,512.3292,1,"survived"
"184",1,1,0,0,0,27.7208,1,"dead"
"185",1,1,42,0,0,26.55,3,"dead"
"186",1,0,55,0,0,27.7208,1,"survived"
"187",1,0,16,0,1,39.4,3,"survived"
"188",1,0,51,0,1,39.4,3,"survived"
"189",1,1,29,0,0,30,3,"dead"
"190",1,0,21,0,0,77.9583,3,"survived"
"191",1,1,30,0,0,45.5,3,"dead"
"192",1,0,58,0,0,146.5208,1,"survived"
"193",1,0,15,0,1,211.3375,3,"survived"
"194",1,1,30,0,0,26,3,"dead"
"195",1,0,16,0,0,86.5,3,"survived"
"196",1,1,0,0,0,29.7,1,"survived"
"197",1,1,19,1,0,53.1,3,"dead"
"198",1,0,18,1,0,53.1,3,"survived"
"199",1,0,24,0,0,49.5042,1,"survived"
"200",1,1,46,0,0,75.2417,1,"dead"
"201",1,1,54,0,0,51.8625,3,"dead"
"202",1,1,36,0,0,26.2875,3,"survived"
"203",1,1,28,1,0,82.1708,1,"dead"
"204",1,0,0,1,0,82.1708,1,"survived"
"205",1,1,65,0,0,26.55,3,"dead"
"206",1,1,44,2,0,90,2,"dead"
"207",1,0,33,1,0,90,2,"survived"
"208",1,0,37,1,0,90,2,"survived"
"209",1,1,30,1,0,57.75,1,"survived"
"210",1,1,55,0,0,30.5,3,"dead"
"211",1,1,47,0,0,42.4,3,"dead"
"212",1,1,37,0,1,29.7,1,"dead"
"213",1,0,31,1,0,113.275,1,"survived"
"214",1,0,23,1,0,113.275,1,"survived"
"215",1,1,58,0,2,113.275,1,"dead"
"216",1,0,19,0,2,26.2833,3,"survived"
"217",1,1,64,0,0,26,3,"dead"
"218",1,0,39,0,0,108.9,1,"survived"
"219",1,1,0,0,0,25.7417,1,"survived"
"220",1,0,22,0,1,61.9792,1,"survived"
"221",1,1,65,0,1,61.9792,1,"dead"
"222",1,1,28.5,0,0,27.7208,1,"dead"
"223",1,1,0,0,0,0,3,"dead"
"224",1,1,45.5,0,0,28.5,3,"dead"
"225",1,1,23,0,0,93.5,3,"dead"
"226",1,1,29,1,0,66.6,3,"dead"
"227",1,0,22,1,0,66.6,3,"survived"
"228",1,1,18,1,0,108.9,1,"dead"
"229",1,0,17,1,0,108.9,1,"survived"
"230",1,0,30,0,0,93.5,3,"survived"
"231",1,1,52,0,0,30.5,3,"survived"
"232",1,1,47,0,0,52,3,"dead"
"233",1,0,56,0,1,83.1583,1,"survived"
"234",1,1,38,0,0,0,3,"dead"
"235",1,1,0,0,0,39.6,3,"survived"
"236",1,1,22,0,0,135.6333,1,"dead"
"237",1,1,0,0,0,227.525,1,"dead"
"238",1,0,43,0,1,211.3375,3,"survived"
"239",1,1,31,0,0,50.4958,3,"dead"
"240",1,1,45,0,0,26.55,3,"survived"
"241",1,1,0,0,0,50,3,"dead"
"242",1,0,33,0,0,27.7208,1,"survived"
"243",1,1,46,0,0,79.2,1,"dead"
"244",1,1,36,0,0,40.125,1,"dead"
"245",1,0,33,0,0,86.5,3,"survived"
"246",1,1,55,1,0,59.4,1,"dead"
"247",1,0,54,1,0,59.4,1,"survived"
"248",1,1,33,0,0,26.55,3,"dead"
"249",1,1,13,2,2,262.375,1,"survived"
"250",1,0,18,2,2,262.375,1,"survived"
"251",1,0,21,2,2,262.375,1,"survived"
"252",1,1,61,1,3,262.375,1,"dead"
"253",1,0,48,1,3,262.375,1,"survived"
"254",1,1,0,0,0,30.5,3,"survived"
"255",1,0,24,0,0,69.3,1,"survived"
"256",1,1,0,0,0,26,3,"survived"
"257",1,0,35,1,0,57.75,1,"survived"
"258",1,0,30,0,0,31,1,"survived"
"259",1,1,34,0,0,26.55,3,"survived"
"260",1,0,40,0,0,153.4625,3,"survived"
"261",1,1,35,0,0,26.2875,3,"survived"
"262",1,1,50,1,0,55.9,3,"dead"
"263",1,0,39,1,0,55.9,3,"survived"
"264",1,1,56,0,0,35.5,1,"survived"
"265",1,1,28,0,0,35.5,3,"survived"
"266",1,1,56,0,0,26.55,3,"dead"
"267",1,1,56,0,0,30.6958,1,"dead"
"268",1,1,24,1,0,60,3,"dead"
"269",1,1,0,0,0,26,3,"dead"
"270",1,0,18,1,0,60,3,"survived"
"271",1,1,24,1,0,82.2667,3,"survived"
"272",1,0,23,1,0,82.2667,3,"survived"
"273",1,1,6,0,2,134.5,1,"survived"
"274",1,1,45,1,1,134.5,1,"survived"
"275",1,0,40,1,1,134.5,1,"survived"
"276",1,1,57,1,0,146.5208,1,"dead"
"277",1,0,0,1,0,146.5208,1,"survived"
"278",1,1,32,0,0,30.5,1,"survived"
"279",1,1,62,0,0,26.55,3,"dead"
"280",1,1,54,1,0,55.4417,1,"survived"
"281",1,0,43,1,0,55.4417,1,"survived"
"282",1,0,52,1,0,78.2667,1,"survived"
"283",1,1,0,0,0,27.7208,1,"dead"
"284",1,1,67,1,0,221.7792,3,"dead"
"285",1,0,63,1,0,221.7792,3,"dead"
"286",1,1,61,0,0,32.3208,3,"dead"
"287",1,0,48,0,0,25.9292,3,"survived"
"288",1,0,18,0,2,79.65,3,"survived"
"289",1,1,52,1,1,79.65,3,"dead"
"290",1,0,39,1,1,79.65,3,"survived"
"291",1,1,48,1,0,52,3,"survived"
"292",1,0,0,1,0,52,3,"survived"
"293",1,1,49,1,1,110.8833,1,"dead"
"294",1,1,17,0,2,110.8833,1,"survived"
"295",1,0,39,1,1,110.8833,1,"survived"
"296",1,0,0,0,0,79.2,1,"survived"
"297",1,1,31,0,0,28.5375,1,"survived"
"298",1,1,40,0,0,27.7208,1,"dead"
"299",1,1,61,0,0,33.5,3,"dead"
"300",1,1,47,0,0,34.0208,3,"dead"
"301",1,0,35,0,0,512.3292,1,"survived"
"302",1,1,64,1,0,75.25,1,"dead"
"303",1,0,60,1,0,75.25,1,"survived"
"304",1,1,60,0,0,26.55,3,"dead"
"305",1,1,54,0,1,77.2875,3,"dead"
"306",1,1,21,0,1,77.2875,3,"dead"
"307",1,0,55,0,0,135.6333,1,"survived"
"308",1,0,31,0,2,164.8667,3,"survived"
"309",1,1,57,1,1,164.8667,3,"dead"
"310",1,0,45,1,1,164.8667,3,"survived"
"311",1,1,50,1,1,211.5,1,"dead"
"312",1,1,27,0,2,211.5,1,"dead"
"313",1,0,50,1,1,211.5,1,"survived"
"314",1,0,21,0,0,26.55,3,"survived"
"315",1,1,51,0,1,61.3792,1,"dead"
"316",1,1,21,0,1,61.3792,1,"survived"
"317",1,1,0,0,0,35,3,"dead"
"318",1,0,31,0,0,134.5,1,"survived"
"319",1,1,0,0,0,35.5,3,"survived"
"320",1,1,62,0,0,26.55,3,"dead"
"321",1,0,36,0,0,135.6333,1,"survived"
"322",2,1,30,1,0,24,1,"dead"
"323",2,0,28,1,0,24,1,"survived"
"324",2,1,30,0,0,13,3,"dead"
"325",2,1,18,0,0,11.5,3,"dead"
"326",2,1,25,0,0,10.5,3,"dead"
"327",2,1,34,1,0,26,3,"dead"
"328",2,0,36,1,0,26,3,"survived"
"329",2,1,57,0,0,13,3,"dead"
"330",2,1,18,0,0,11.5,3,"dead"
"331",2,1,23,0,0,10.5,3,"dead"
"332",2,0,36,0,0,13,3,"survived"
"333",2,1,28,0,0,10.5,3,"dead"
"334",2,1,51,0,0,12.525,3,"dead"
"335",2,1,32,1,0,26,3,"survived"
"336",2,0,19,1,0,26,3,"survived"
"337",2,1,28,0,0,26,3,"dead"
"338",2,1,1,2,1,39,3,"survived"
"339",2,0,4,2,1,39,3,"survived"
"340",2,0,12,2,1,39,3,"survived"
"341",2,0,36,0,3,39,3,"survived"
"342",2,1,34,0,0,13,3,"survived"
"343",2,0,19,0,0,13,3,"survived"
"344",2,1,23,0,0,13,3,"dead"
"345",2,1,26,0,0,13,3,"dead"
"346",2,1,42,0,0,13,3,"dead"
"347",2,1,27,0,0,13,3,"dead"
"348",2,0,24,0,0,13,3,"survived"
"349",2,0,15,0,2,39,3,"survived"
"350",2,1,60,1,1,39,3,"dead"
"351",2,0,40,1,1,39,3,"survived"
"352",2,0,20,1,0,26,3,"survived"
"353",2,1,25,1,0,26,3,"dead"
"354",2,0,36,0,0,13,3,"survived"
"355",2,1,25,0,0,13,3,"dead"
"356",2,1,42,0,0,13,3,"dead"
"357",2,0,42,0,0,13,3,"survived"
"358",2,1,0.83,0,2,29,3,"survived"
"359",2,1,26,1,1,29,3,"survived"
"360",2,0,22,1,1,29,3,"survived"
"361",2,0,35,0,0,21,3,"survived"
"362",2,1,0,0,0,0,3,"dead"
"363",2,1,19,0,0,13,3,"dead"
"364",2,0,44,1,0,26,3,"dead"
"365",2,1,54,1,0,26,3,"dead"
"366",2,1,52,0,0,13.5,3,"dead"
"367",2,1,37,1,0,26,3,"dead"
"368",2,0,29,1,0,26,3,"dead"
"369",2,0,25,1,1,30,3,"survived"
"370",2,0,45,0,2,30,3,"survived"
"371",2,1,29,1,0,26,3,"dead"
"372",2,0,28,1,0,26,3,"survived"
"373",2,1,29,0,0,10.5,3,"dead"
"374",2,1,28,0,0,13,3,"dead"
"375",2,1,24,0,0,10.5,3,"survived"
"376",2,0,8,0,2,26.25,3,"survived"
"377",2,1,31,1,1,26.25,3,"dead"
"378",2,0,31,1,1,26.25,3,"survived"
"379",2,0,22,0,0,10.5,3,"survived"
"380",2,0,30,0,0,13,3,"dead"
"381",2,0,0,0,0,21,3,"dead"
"382",2,1,21,0,0,11.5,3,"dead"
"383",2,1,0,0,0,0,3,"dead"
"384",2,1,8,1,1,36.75,3,"survived"
"385",2,1,18,0,0,73.5,3,"dead"
"386",2,0,48,0,2,36.75,3,"survived"
"387",2,0,28,0,0,13,3,"survived"
"388",2,1,32,0,0,13,3,"dead"
"389",2,1,17,0,0,73.5,3,"dead"
"390",2,1,29,1,0,27.7208,1,"dead"
"391",2,0,24,1,0,27.7208,1,"survived"
"392",2,1,25,0,0,31.5,3,"dead"
"393",2,1,18,0,0,73.5,3,"dead"
"394",2,0,18,0,1,23,3,"survived"
"395",2,0,34,0,1,23,3,"survived"
"396",2,1,54,0,0,26,3,"dead"
"397",2,1,8,0,2,32.5,3,"survived"
"398",2,1,42,1,1,32.5,3,"dead"
"399",2,0,34,1,1,32.5,3,"survived"
"400",2,0,27,1,0,13.8583,1,"survived"
"401",2,0,30,1,0,13.8583,1,"survived"
"402",2,1,23,0,0,13,3,"dead"
"403",2,1,21,0,0,13,3,"dead"
"404",2,1,18,0,0,13,3,"dead"
"405",2,1,40,1,0,26,3,"dead"
"406",2,0,29,1,0,26,3,"survived"
"407",2,1,18,0,0,10.5,3,"dead"
"408",2,1,36,0,0,13,3,"dead"
"409",2,1,0,0,0,0,3,"dead"
"410",2,0,38,0,0,13,3,"dead"
"411",2,1,35,0,0,26,3,"dead"
"412",2,1,38,1,0,21,3,"dead"
"413",2,1,34,1,0,21,3,"dead"
"414",2,0,34,0,0,13,3,"survived"
"415",2,1,16,0,0,26,3,"dead"
"416",2,1,26,0,0,10.5,3,"dead"
"417",2,1,47,0,0,10.5,3,"dead"
"418",2,1,21,1,0,11.5,3,"dead"
"419",2,1,21,1,0,11.5,3,"dead"
"420",2,1,24,0,0,13.5,3,"dead"
"421",2,1,24,0,0,13,3,"dead"
"422",2,1,34,0,0,13,3,"dead"
"423",2,1,30,0,0,13,3,"dead"
"424",2,1,52,0,0,13,3,"dead"
"425",2,1,30,0,0,13,3,"dead"
"426",2,1,0.67,1,1,14.5,3,"survived"
"427",2,0,24,0,2,14.5,3,"survived"
"428",2,1,44,0,0,13,3,"dead"
"429",2,0,6,0,1,33,3,"survived"
"430",2,1,28,0,1,33,3,"dead"
"431",2,1,62,0,0,10.5,3,"survived"
"432",2,1,30,0,0,10.5,3,"dead"
"433",2,0,7,0,2,26.25,3,"survived"
"434",2,1,43,1,1,26.25,3,"dead"
"435",2,0,45,1,1,26.25,3,"survived"
"436",2,0,24,1,2,65,3,"survived"
"437",2,0,24,1,2,65,3,"survived"
"438",2,1,49,1,2,65,3,"dead"
"439",2,0,48,1,2,65,3,"survived"
"440",2,0,55,0,0,16,3,"survived"
"441",2,1,24,2,0,73.5,3,"dead"
"442",2,1,32,2,0,73.5,3,"dead"
"443",2,1,21,2,0,73.5,3,"dead"
"444",2,0,18,1,1,13,3,"dead"
"445",2,0,20,2,1,23,3,"survived"
"446",2,1,23,2,1,11.5,3,"dead"
"447",2,1,36,0,0,13,3,"dead"
"448",2,0,54,1,3,23,3,"survived"
"449",2,1,50,0,0,13,3,"dead"
"450",2,1,44,1,0,26,3,"dead"
"451",2,0,29,1,0,26,3,"survived"
"452",2,1,21,0,0,73.5,3,"dead"
"453",2,1,42,0,0,13,3,"survived"
"454",2,1,63,1,0,26,3,"dead"
"455",2,0,60,1,0,26,3,"dead"
"456",2,1,33,0,0,12.275,3,"dead"
"457",2,0,17,0,0,10.5,3,"survived"
"458",2,1,42,1,0,27,3,"dead"
"459",2,0,24,2,1,27,3,"survived"
"460",2,1,47,0,0,15,3,"dead"
"461",2,1,24,2,0,31.5,3,"dead"
"462",2,1,22,2,0,31.5,3,"dead"
"463",2,1,32,0,0,10.5,3,"dead"
"464",2,0,23,0,0,13.7917,1,"survived"
"465",2,1,34,1,0,26,3,"dead"
"466",2,0,24,1,0,26,3,"survived"
"467",2,0,22,0,0,21,3,"dead"
"468",2,0,0,0,0,12.35,2,"survived"
"469",2,1,35,0,0,12.35,2,"dead"
"470",2,0,45,0,0,13.5,3,"survived"
"471",2,1,57,0,0,12.35,2,"dead"
"472",2,1,0,0,0,0,3,"dead"
"473",2,1,31,0,0,10.5,3,"dead"
"474",2,0,26,1,1,26,3,"dead"
"475",2,1,30,1,1,26,3,"dead"
"476",2,1,0,0,0,10.7083,2,"dead"
"477",2,0,1,1,2,41.5792,1,"survived"
"478",2,0,3,1,2,41.5792,1,"survived"
"479",2,1,25,1,2,41.5792,1,"dead"
"480",2,0,22,1,2,41.5792,1,"survived"
"481",2,0,17,0,0,12,1,"survived"
"482",2,0,0,0,0,33,3,"survived"
"483",2,0,34,0,0,10.5,3,"survived"
"484",2,1,36,0,0,12.875,1,"dead"
"485",2,1,24,0,0,10.5,3,"dead"
"486",2,1,61,0,0,12.35,2,"dead"
"487",2,1,50,1,0,26,3,"dead"
"488",2,0,42,1,0,26,3,"survived"
"489",2,0,57,0,0,10.5,3,"dead"
"490",2,1,0,0,0,15.0458,1,"dead"
"491",2,1,1,0,2,37.0042,1,"survived"
"492",2,1,31,1,1,37.0042,1,"dead"
"493",2,0,24,1,1,37.0042,1,"survived"
"494",2,1,0,0,0,15.5792,1,"dead"
"495",2,1,30,0,0,13,3,"dead"
"496",2,1,40,0,0,16,3,"dead"
"497",2,1,32,0,0,13.5,3,"dead"
"498",2,1,30,0,0,13,3,"dead"
"499",2,1,46,0,0,26,3,"dead"
"500",2,0,13,0,1,19.5,3,"survived"
"501",2,0,41,0,1,19.5,3,"survived"
"502",2,1,19,0,0,10.5,3,"survived"
"503",2,1,39,0,0,13,3,"dead"
"504",2,1,48,0,0,13,3,"dead"
"505",2,1,70,0,0,10.5,3,"dead"
"506",2,1,27,0,0,13,3,"dead"
"507",2,1,54,0,0,14,3,"dead"
"508",2,1,39,0,0,26,3,"dead"
"509",2,1,16,0,0,10.5,3,"dead"
"510",2,1,62,0,0,9.6875,2,"dead"
"511",2,1,32.5,1,0,30.0708,1,"dead"
"512",2,0,14,1,0,30.0708,1,"survived"
"513",2,1,2,1,1,26,3,"survived"
"514",2,1,3,1,1,26,3,"survived"
"515",2,1,36.5,0,2,26,3,"dead"
"516",2,1,26,0,0,13,3,"dead"
"517",2,1,19,1,1,36.75,3,"dead"
"518",2,1,28,0,0,13.5,3,"dead"
"519",2,1,20,0,0,13.8625,1,"survived"
"520",2,0,29,0,0,10.5,3,"survived"
"521",2,1,39,0,0,13,3,"dead"
"522",2,1,22,0,0,10.5,3,"survived"
"523",2,1,0,0,0,13.8625,1,"survived"
"524",2,1,23,0,0,10.5,3,"dead"
"525",2,1,29,0,0,13.8583,1,"survived"
"526",2,1,28,0,0,10.5,3,"dead"
"527",2,1,0,0,0,0,3,"dead"
"528",2,0,50,0,1,26,3,"survived"
"529",2,1,19,0,0,10.5,3,"dead"
"530",2,1,0,0,0,15.05,1,"dead"
"531",2,1,41,0,0,13,3,"dead"
"532",2,0,21,0,1,21,3,"survived"
"533",2,0,19,0,0,26,3,"survived"
"534",2,1,43,0,1,21,3,"dead"
"535",2,0,32,0,0,13,3,"survived"
"536",2,1,34,0,0,13,3,"dead"
"537",2,1,30,0,0,12.7375,1,"survived"
"538",2,1,27,0,0,15.0333,1,"dead"
"539",2,0,2,1,1,26,3,"survived"
"540",2,0,8,1,1,26,3,"survived"
"541",2,0,33,0,2,26,3,"survived"
"542",2,1,36,0,0,10.5,3,"dead"
"543",2,1,34,1,0,21,3,"dead"
"544",2,0,30,3,0,21,3,"survived"
"545",2,0,28,0,0,13,3,"survived"
"546",2,1,23,0,0,15.0458,1,"dead"
"547",2,1,0.83,1,1,18.75,3,"survived"
"548",2,1,3,1,1,18.75,3,"survived"
"549",2,0,24,2,3,18.75,3,"survived"
"550",2,0,50,0,0,10.5,3,"survived"
"551",2,1,19,0,0,10.5,3,"dead"
"552",2,0,21,0,0,10.5,3,"survived"
"553",2,1,26,0,0,13,3,"dead"
"554",2,1,25,0,0,13,3,"dead"
"555",2,1,27,0,0,26,3,"dead"
"556",2,0,25,0,1,26,3,"survived"
"557",2,0,18,0,2,13,3,"survived"
"558",2,0,20,0,0,36.75,3,"survived"
"559",2,0,30,0,0,13,3,"survived"
"560",2,1,59,0,0,13.5,3,"dead"
"561",2,0,30,0,0,12.35,2,"survived"
"562",2,1,35,0,0,10.5,3,"dead"
"563",2,0,40,0,0,13,3,"survived"
"564",2,1,25,0,0,13,3,"dead"
"565",2,1,41,0,0,15.0458,1,"dead"
"566",2,1,25,0,0,10.5,3,"dead"
"567",2,1,18.5,0,0,13,3,"dead"
"568",2,1,14,0,0,65,3,"dead"
"569",2,0,50,0,0,10.5,3,"survived"
"570",2,1,23,0,0,13,3,"dead"
"571",2,0,28,0,0,12.65,3,"survived"
"572",2,0,27,0,0,10.5,3,"survived"
"573",2,1,29,1,0,21,3,"dead"
"574",2,0,27,1,0,21,3,"dead"
"575",2,1,40,0,0,13,3,"dead"
"576",2,0,31,0,0,21,3,"survived"
"577",2,1,30,1,0,21,3,"dead"
"578",2,1,23,1,0,10.5,3,"dead"
"579",2,0,31,0,0,21,3,"survived"
"580",2,1,0,0,0,0,3,"dead"
"581",2,0,12,0,0,15.75,3,"survived"
"582",2,0,40,0,0,15.75,3,"survived"
"583",2,0,32.5,0,0,13,3,"survived"
"584",2,1,27,1,0,26,3,"dead"
"585",2,0,29,1,0,26,3,"survived"
"586",2,1,2,1,1,23,3,"survived"
"587",2,0,4,1,1,23,3,"survived"
"588",2,0,29,0,2,23,3,"survived"
"589",2,0,0.92,1,2,27.75,3,"survived"
"590",2,0,5,1,2,27.75,3,"survived"
"591",2,1,36,1,2,27.75,3,"dead"
