"num"	"date"	"title"	"contents"
"16"	"2017-01-31"	"'무한도전' '도깨비' 음원, 지니 1월 월간차트 휩쓸어"	"‘무한도전’ ‘도깨비’ 등 인기 예능 프로그램과 드라마를 통해 공개된 음원들이 음악서비스 지니 1월 월간차트(1월1∼25일) 상위권을 휩쓸었다. 1위는 MBC 예능프로그램 ‘무한도전 “예능 프로그램 ‘무한도전’과 드라마 ..형태로 발매된 방송 음원들이 지.."
"17"	"2017-01-31"	"36.5℃ 김규리의 온도"	"..예능 프로그램 ..끼는 그들의 연약한....아는 게 중요하다.▼ 의외로 작품보다 먼저〈쇼 미 더 머니〉〈복면가왕〉같은 예능 프로그램에서 만날 수 있겠는데? 하하.〈복면가왕〉에서 섭외 전화가 여러 번 왔는데, 내가 나가면 누구라도 금방 눈치챌 거 같아서 거절했다."
"18"	"2017-01-31"	"'우주소녀' 성소, '한끼줍쇼' 출연…연희동 찾아 거닐며 \"저 우주에서 왔어요\""	"'한끼줍쇼'에 출연한다...예능 대세로 떠오르고 있는 우..'한끼줍쇼'에 도전장을 내밀었다. 내일은 시구왕, 아육대, 정글의 법칙 등 출연한 예능마다 연일 화제가 되고 있는 걸그룹 우주소녀 멤버 성소가 2월 1일 방송 예정인 JTBC ‘한끼줍쇼’에 출연한다."
"19"	"2017-01-31"	"[ON+인터뷰┃김주혁] 따뜻함도 섹시함도, 김주혁만의 매력으로"	"‘1박 2일’을 통해 이미지는 더 굳어졌다.‘1박 2일 통한 이질감도 고민됐다...형’ 좋지 않나.(웃음)” 갈증이 큰 상태에서 새로운 것을 도전하게 되면, 그것을 제대로 해내기 .. 때문에 관객들도 그의 끊임없는 도전기를 흥미롭게 지켜볼 수 있을 것 같다."
"20"	"2017-01-31"	"'한끼줍쇼' 김종민x성소, 밥동무로 뭉쳤다...연희동서 만난 반가운 얼굴은?"	"..예능대상' 김종민..'예능대세' 성소가 뭉쳤다.‘한끼줍쇼’에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀의 성소가 밥동무로 출연한다.‘한끼줍쇼’의 녹화에서는 이경규, 강호동, 김종민, 성소의 연희동 한 끼 도전기가 그려졌다.'한끼줍쇼'"
"21"	"2017-01-31"	"'신드롬맨' 솔비, 핵사이다 공감 어록 눈길 \"진솔한 반전 매력\""	"솔비가 진솔한 반전 매력으로 ‘신드롬맨’을.. 솔비는 30일 방송된 KBS 2TV 파일럿 예능프로그램  또 MC들은 이해하지 못하는 최민수와의 4차원 예능 케미로 진행능력까지 발휘해 눈길을 끌었다.‘정글의 법칙’을 시작으로 JTBC‘아는 형님’, MBC"
"22"	"2017-01-31"	"[SC초점] 허각과 술, 발라드..무대가 그리웠던 노래쟁이의 고집(종합)"	"예능 프로그램 '복면가왕'에 출연하며 공백을 채운 허각은 ..형식을 취한 이 앨범엔 이별 후에 경험할 수 있는 다양.. 지고릴라, 심현보, 김진환, MU-D9, 이정원, 기련(CLEF CREW) 등 실력파 프로듀서진이 참여해 허각에 맞춤형 노래를 선사했다."
"23"	"2017-01-31"	"아육대 성소, 이번엔 '한 끼' 도전…'한끼줍쇼' 이경규에게 해코지 당해"	"'한 끼'에 도전한다.<U+00A0>31일 JTBC에 따르면 내달 1일 방송되는 이 방송사의 예능프로그램 ..끼줍쇼'에는 대세 걸그룹 우주소녀의 성소와 최근 KBS 연예대상에서 대상을 수상한 김종..'한끼줍쇼' 녹화장에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의"
"24"	"2017-01-31"	"김종민·성소, '한끼줍쇼' 출연… 연희동 간다"	"김종민·성소, '한끼줍쇼' 출연… 연희동 간다 입력시간 | ..*****@******.**.** 기자의 다른 기사보기 독자의견 한끼줍쇼 ‘한끼’에 도전한다. 김종민과 성소는 1일 방송하는 종합편성채널 JTBC 예능프로그램 ‘한끼줍쇼’에 밥동무로 출연한다."
"25"	"2017-01-31"	"[TV@픽] ‘한끼줍쇼’ 김종민X성소, 아이오아이 집 방문 성공할까"	"‘예능 대세’ 성소가 한 끼에 도전한다...끼줍쇼’에는 지난해 KBS 연예대상을 수상한 김종민과 걸그룹 우주소녀의 성소가 밥 동..‘한끼줍쇼’에서는 김종민과 성소의 연희동 한 끼 도전기가 그려진다.‘한끼줍쇼’는 매주 수요일 오후 10시 50분에 방송된다.<U+00A0>"
"26"	"2017-01-31"	"김종민·우주소녀 성소 '한끼줍쇼' 출연…유명 셰프와 만남"	"홈 > 연예 > 방송ㆍTV (..* 축소 예능 대상자와 예능 대세가 한 끼에 도전한다.‘한끼줍쇼’에는 연예대상을 수상한 김종민과 대세 걸그룹 우주소녀의 성소가 밥동무로 나선다.'한끼줍쇼'의 녹화에서는 김종민과 성소의 서울 연희동 한 끼 도전기가 그려졌다."
"27"	"2017-01-31"	"용기있는 솔비의 정치 발언 그 후 \"왜곡없이 진심 전달되길\""	"News>방송 enews24<U+00A0> 입력. 20.. 솔비는 30일 방송된 KBS 2TV 파일럿 예능프로그램  또 MC들은 이해하지 못하는 최민수와의 4차원 예능 케미로 진행능력까지 발휘해 눈길을 끌었다.‘정글의 법칙’을 시작으로 JTBC‘아는 형님’, MBC"
"28"	"2017-01-31"	"‘한끼줍쇼’ 예능대상 김종민-예능대세 성소 뜬다"	"[뉴.. 예능대상과 예능대세가 한 끼에 도전한다.'한끼줍쇼'에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀 성소가 밥동무로 출연한다.'한끼줍쇼'의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 펼쳐졌다."
"29"	"2017-01-31"	"솔비 “누구나 권력 욕심 있지만 태도가 너무 화 나” 소신 발언"	"[매일경제 스타투데이   솔비가 진솔한 반전.. 솔비는 30일 방송된 KBS 2TV 파일럿 예능프로그램  또 MC들은 이해하지 못하는 최민수와의 4차원 예능 케미로 진행능력까지 발휘해 눈길을 끌었다.‘정글의 법칙’을 시작으로 종편 ‘아는 형님’, MBC"
"30"	"2017-01-31"	"성소X김종민, `한끼줍쇼` 밥동무 출연.. \"대세들의 만남!\""	"..끼줍쇼’에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀의 성소가 밥동무로 출연을 앞두고 ..‘한끼줍쇼’의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기로 네 사람은 첫 만남부터 예사롭지 않았다고 전해졌다."
"31"	"2017-01-31"	"록그룹 ‘부활’ 출신 정동하 2월 11일 울산 공연"	"현재 음반 활동과 더불어 뮤지컬, 각종 음악방송 및 예능 프로그램, 라디오 등에서 활약하며 폭넓은 팬 층을 확보하고 있다.‘복면가왕’에 “불후의 명곡, 복면가왕 등 음악 프로그램을 통해 보여준 그의 매력을 직접 확인해 볼 수 있는 무대”라고 말했다."
"32"	"2017-01-31"	"울산 현대예술관, ‘라이브의 황제 정동하' 콘서트"	"..가왕의 더 강력해진 무대 등록: 2017-01-....예능 프로그램, 라디오 등에서 활약하며 폭넓은 팬 층을 확보하고 있다.<U+00A0> ‘복면가왕’에 \"불후의 명곡, 복면가왕 등 음악 프로그램을 통해 보여준 그의 매력을 직접 확인해 볼 수 있는 무대\"라고 말했다.<U+00A0>"
"33"	"2017-01-31"	"‘한끼줍쇼’ 김종민X우주소녀 성소, 예능대세들의 한끼 도전..티격태격 이유는?"	"예능대상과 예능대세가 한 끼에 도전한다.‘한끼줍쇼’의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 그려졌다.<U+00A0> 한편, 예능대상 김종민과 예능대세 성소의 활약은 오는 2월 1일 오후 10시 50분에 방송되는 ..끼줍쇼’.."
"34"	"2017-01-31"	"예능대상 김종민-예능대세 성소, ‘한끼줍쇼’에서 밥동무로 출연"	"예능대상과 예능대세가 한 끼에 도전한다./사진=JTBC2월 1일(수) 밤 10시 50분에 방송되는 JTBC ..끼줍쇼’에는 연예대상을 수상한 김종민과 ..‘한끼줍쇼’의 녹화에서는 강력한 예능의 기운을 몰고 온 김종민과 성소의 연희동 한 끼 도전기가 그려졌다."
"35"	"2017-01-31"	"'예능대세' 김종민-성소, '한끼줍쇼' 출연.. 유명 셰프·아이오아이 집 방문?"	"예능대상과 예능대세가 한 끼에 도전한다...끼줍쇼’에는 연예대상을 수상한 김종민과 대세 걸그룹으로 우뚝 선 우주소녀의 성소..‘한끼줍쇼’의 녹화에서는 김종민과 성소의 연희동 한 끼 도전기가 그려졌다.‘한끼줍쇼’는 매주 수요일 오후 10시 50분에 방송된다."
"36"	"2017-01-31"	"돌아온 정준영, 2월 7일 첫 정규 앨범 ‘1인칭’ 발매"	"전격 복귀를 선언한 가수 정준영이 첫 솔로 정규 앨범을 발매한다. 31일 소속사 C9엔터테인먼트는 공식 SNS 및 팬카페 등을 통해 오는.. 한편, 정준영은 최근 약 4개월여의 공백을 딛고 KBS2 예능 프로그램 ‘해피선데이-1박2일 시즌3’에 복귀했다."
"37"	"2017-01-31"	"'아는 형님' 주간 비드라마 화제성 1위! '팬텀싱어' 2위"	"'아는 형님'이 비드라마 프로그램 중 화제성 1위에 올랐다.'굿데이터코퍼레이션'에 따르면 지난 28일(토) 방송된 JTBC 예능 프로그램 ..아는 누님' 박미선, 조혜련 솔비 홍진영이 형님 학교를 다시 찾..'한끼줍쇼' 15회(25일 방송)는 동일 방송되는"
"38"	"2017-01-31"	"‘무한도전’ ‘도깨비’의 인기, 음원 차트에도 물들다"	"뉴스 > 연예 ‘무한도전’  MBC 예능프로그램 ‘무한도전’과 최근 종영한 tvN 드라마 ‘무한도전 ‘당신의 밤’은 무한도전이 역사와 힙합 콜라보레이션으로 진행한 프로젝트 음원으로 공개 직후 지니 실시간 차트 1위에 오르며 무한도전의 인기를 이어갔다."
"39"	"2017-01-31"	"Lee Kyung-kyu is only getting busier with age : The veteran comedian has added multiple new television shows to his alre"	"..끼줍쇼’ 설날에 만나요] 붉은 닭의 해 정유년(..‘한끼줍쇼’(수 오후 10시50분)에 이어 다음달 3일에는 배우 채정안·건축가 양진석과 함께 신축 버라이어티  여기에 박미선·윤정수 등 후배 개그맨들이 총출동해 우열을 가리는 SBS 파일럿 예능 프로그램"
"40"	"2017-01-31"	"36.5℃ 김규리의 온도"	"..예능 프로그램 ..끼는 그들의 연약한....아는 게 중요하다.▼ 의외로 작품보다 먼저〈쇼 미 더 머니〉〈복면가왕〉같은 예능 프로그램에서 만날 수 있겠는데? 하하.〈복면가왕〉에서 섭외 전화가 여러 번 왔는데, 내가 나가면 누구라도 금방 눈치챌 거 같아서 거절했다."
"41"	"2017-01-31"	"'부활' 출신 보컬 정동하… 오는 11일 현대예술관서 공연 개최"	"현재 음반 활동과 더불어 뮤지컬, 각종 음악방송 및 예능 프로그램, 라디오 등에서 활약하며 폭넓은 팬 층을 확보하고 있다.‘복면가왕’에 “불후의 명곡, 복면가왕 등 음악 프로그램을 통해 보여준 그의 매력을 직접 확인해 볼 수 있는 무대”라고 말했다."
"42"	"2017-01-31"	"‘단발병 부르는’ 홍진영 근황 “최대한 말라볼게요”"	"SNS 공유 및 댓글 SNS 클릭 수 0 페.. 홍진영은 지난 27일, 28일 방송된 MBC 설 특집 예능프로그램 '발칙한 동거 빈방 있음'에 출연해 그룹 블락비 피오, 방송인 김신영과 호흡을 맞췄다.(사진=홍진영 인스타그램) 뉴스엔 서정윤 seojy@"
"43"	"2017-01-31"	"설특집 '아는형님' 비드라마 프로그램 화제성 '1위'"	"‘아는 형님’이 비드라마 프로그램 중 화제성 1위에 올랐다.‘굿데이터코퍼레이션’에 따르면<U+00A0>28일 방송된 JTBC 예능 프로그램 ..아는 형님’은 점유율 4.72%로 1월 4주(1월 23일~29일)에 방송된 비드라..‘아는 형님’에 이어 화제성 2위를 차지한"
"44"	"2017-01-31"	"[TV줌인] '아형'→'아육대'→'안녕' 차오루, 설 연휴 씹어먹은 똑순이"	"[TV리포트=  아이돌계의 예능 여신이다. 차오루가 설 연휴 동안 예능감을 과시하며, 활약을 펼쳤다. 먼저, 차오루는 지난 28일 방송된..'아는 형님'에 출연했다. 그는 아이돌 중 유일하게 곤봉 경기에 도전했다.'아는형님'에 이어 또다시 계획을 밝혔다."
"45"	"2017-01-31"	"지상파3사 설 파일럿 대결…MBC ‘발칙한 동거’ 합격이오"	"‘발칙한 동거’ 합격이오 입력 2017-01-31 06:57:00 설 연휴 파일럿 경쟁에서 승리한 MBC ‘발칙한 동거-빈방있음’.‘발칙한 동거-빈방있음’이 최다 시청자의 선택을 받았다.‘발칙한 동거’는 스타가 다른 스타의 집에서 지내는 ..동거 관찰 리.."
"46"	"2017-01-31"	"지상파3사 설 파일럿 대결…MBC ‘발칙한 동거’ 합격이오"	"‘발칙한 동거-빈방있음’...예능프로그램을 평균 3편씩 선보였다.‘발칙한 동거-빈방있음’이 최다 시청자의 선택을 받았다.‘발칙한 동거’는 스타가 다른 스타의 집에서 지내는 ‘동거 관찰 리얼리티’ 포맷이지만 집주인과 셋방살이 설정으로 차별화했다...예능프로그램.."
"47"	"2017-01-31"	"메트로신문 1월 31일 한줄뉴스"	"▲ 더불어민주당 문재인 전 대표가 설 연휴를 하루 앞둔 지난 26일 오전 신입 소방관들이 교육받고 있는 서초구 서울소방학교 강의실을 방문, 신입소방관의 질문에 답하..▲설 연휴 방송된 파일럿 예능 프로그램 중 MBC '발칙한 동거'·'사십춘기', SBS"
"48"	"2017-01-31"	"'스타강사' 설민석, 가장 기억에 남는 제자로 하하 꼽은 이유는? \"역사적 지식 無, 촬영할수록…\""	"입력 : 2017.01.31 00:00 설민석 /tvN 캡처 스타강사 설..\"사실 처음 만났을 때 하하씨는 역사적 지식이 전무한 상태였다”며 '무한도전'을 비롯해 JTBC '어쩌다 어른' 등 여러 예능 프로그램에 출연해 역사 강의를 펼쳐 지명도를 높였다."
"49"	"2017-01-31"	"‘아는 형님’ 주간 비드라마 화제성 1위! ‘팬텀싱어’는 2위"	"‘아는 형님’은 점유율 4.72%로 1월 4주(1월 23일~29일)에 방송된 비드라마부문 화제성 1위를 차지했다.‘아는 누님’박미선, 조혜련 솔비 홍진영이 형님 학교를 다시 찾아 안방극장에 웃음을 선사했다...아는 누님’에 합류한 개그우먼 오나미, 피에스.."
"50"	"2017-01-31"	"\"앙순이들 안녕ㅠㅠ\" 영상 26개로 보는 아이오아이"	"아이오아이는 지난 22일 열린 콘서트를 끝으로 활동을 종료했다.'아는 형님', tvN ..예능 프로그램에 출연하면서 두각을 나타내기도 ....예능프로그램<U+00A0>8.'아는 형님' '아는 형님'<U+FEFF><U+FEFF><U+FEFF>12.'주간아이돌' 등 많은 예능 프로그램에 출연했다.<U+00A0>*드라마<U+00A0>20."
"51"	"2017-01-30"	"'설연휴 가장 바빴던 예능인'... 양세형의 전망은 밝다"	"양세형은 여세를 몰아 올해 예능의 판도를 예측해 볼 수 있는 설특집 예능 파일럿 프로그램에서 가장 인기있는 인물이 되었다...형의 예능감을 폭발시켜준.. 일반적인 형식이 아닌, 뒷통수를 치는 예능감은 단순히 자기소개에서 끝나지 않고<U+00A0> 출연 내내 발휘되었다."
"52"	"2017-01-30"	"‘복면가왕’ 꼬꼬댁 정체는 서현, “제 목소리 알아채는 분 계실지…설레고 긴장”"	"사..‘일밤-복면가왕’ 캡처·서현 인스타그램 ‘복면가왕’에 소녀시대 서현이 등장해 시선을 사로잡았다. 29일 방송된 MBC 예능프로그램 ‘일밤-복면가왕’에서는 ..복면을 벗기 전 뮤지컬 “복면을 쓰고 노래를 하니 과연 저의 목소리를 알아보시는 분이 계실지…."
"53"	"2017-01-30"	"최불암·김주혁 통해 본 ‘1박’이 추구하는 훈훈한 웃음"	"‘1박2일’, 잠깐 출연해 따뜻함 남긴 최불암과 김주혁 [엔터미디어=정덕현] 잠깐 출연.. 설 명절을 맞아 KBS 예능 프로그램 에서 보게 된 최불암과 김주혁이 그들이다...형 김주혁 역시 그가 을 통해 부여한 온기가 최불암과 다르지 않다는 걸 확인시켜줬다."
"54"	"2017-01-30"	"‘1박2일’ 김주혁, 차태현 이유영 언급에 “당황함속 침착한 대응” 눈길"	"29일 전파를 탄 KBS2 예능프로그램 '해피선데이-1박 2일 시즌3'(이하 1박 2일)에서 멤버들은 설빔 의상으로 김주혁을 찾았다...형 분)에게 돈을 받고 정숙의 남편이자 불치병에 걸려 실의에 빠진 조각가 준구(박용우 분)의 누드모델이 되는 가난한 .."
"55"	"2017-01-30"	"복면가왕 서현,\"굉장히 설레고 긴장되는 순간\" SNS에 소감 전해"	": 2017.01.30 15:09 복면가왕 서현이 SNS에 소감을 전했다./서현 인스타그램 걸그룹 소녀시대의 서현이 ‘복면가왕’에 출연한 가운데, 자신의 SNS에 출연 소감을 전했다...복면을 쓰.. 29일 방송된 MBC 예능프로그램 ‘일밤-복면가왕’에서는"
"56"	"2017-01-30"	"'뜻밖의 미스터리 클럽' 설 파일럿 예능에서 정규 편성으로?...누리꾼들 폭발적 반응"	"지난 28일 방송된 후, 오늘(30일) 오후 2시에 다시 한번 방송된 S.. 해당 프로그램은 미스터리한 사건이나 잘 설명되지 않는 기묘한 이야기를 소개하고 대중의 참여를 통해 진실을 파헤쳐보는 새로운 형식의 집단지성 추리 토크쇼다.'복면가왕', KBS2"
"57"	"2017-01-30"	"복면가왕 꼬꼬마인디언 정체는 최민수...“음악 숨 쉬는 것까지 좋아한다”"	"? 복면가왕 꼬꼬마인디언의 정체는 배우 최민수였다. 지난 29일 방송된 MBC 예능 프로그램 '일밤-복면가왕'(이하 '복면가왕')에서는 베짱이와 꼬꼬마인디언의 2라운드 대결 무대가 그려졌다. 결국 복면을 벗은 꼬꼬마인디언의 정체는 배우 최민수였고 그는.."
"58"	"2017-01-30"	"복면가왕 꼬꼬마인디언 최민수, 아내 강주은이 소송걸고 싶다던 그 노래 정체는?"	"<U+00A0> 복면가왕 꼬꼬마인디언 정체는 최민수였다.‘일밤-복면가왕’에서  복면가왕 꼬꼬마인디언 정체는 바로 최민수로 밝혀졌다...예능감을 보였다. 한편 이날 방송에서 복면가왕 꼬꼬마인디언 최민수는 베짱이에게 패해 얼굴을 공개했다...복면을 쓴 채 인터뷰에서도 장난기.."
"59"	"2017-01-30"	"[인터뷰] 김주혁 “‘1박2일’에서 배운 ‘비움’ 덕에 배우로 성장했죠”"	"“‘1박2일’에서 배운 “예능을 통해 배우로서 도움을 받은 것은 분명하다”라며 ‘1박 2일’ 멤버들 잠깐 만나고 왔다”라며 ‘1박 2일’을 하차하고 스태프들과 있는 방에서는 나갔죠.‘1박2일’ 회식을 하면 꼭 불러줘요...도전의식이 생긴 건지는 몰라도 변.."
"60"	"2017-01-30"	"최불암·김주혁 통해 본 ‘1박’이 추구하는 훈훈한 웃음"	"‘1박2일’, 잠깐 출연해 따뜻함 남긴 최불암과 김주혁 [엔터미디어=정덕현] 잠깐 출연.. 설 명절을 맞아 KBS 예능 프로그램 에서 보게 된 최불암과 김주혁이 그들이다...형 김주혁 역시 그가 을 통해 부여한 온기가 최불암과 다르지 않다는 걸 확인시켜줬다."
"61"	"2017-01-30"	"`복면가왕` 베짱이, 폭풍 성량 \"감성 짙은 감동, 대박이야!\""	"`복면가왕` 베짱이, 폭풍 성량 ↑ 사진=MBC 복면가왕 캡처 '복면가왕' 베짱이 유성은이 폭풍 성량을 자랑했다...예능프..'일밤-복면가왕' 가왕후보결정전에서는 \"'복면가왕'을 통해 제가 누군지 몰라도 잘한다는 말을 듣고 싶었다\"고 솔직한 속내를 드러냈다."
"62"	"2017-01-30"	"'오빠생각'·'엄마의 소개팅'·'아육대' 등 설연휴 막바지 파일럿 프로 관심 UP"	"실시간뉴스 더보기 연휴 ....형식에 얽매지 않는 자연스러운 모습으로 방송에 임해 토크쇼를 방불케 했다.<U+00A0> 시청자들은 마치 MBC 인기 예능 프로그램 '무한도전'의 단골 특집인 '무한상사'와 신개념 토크쇼를 표방하는 <U+00A0> MBC 설 특집 파일럿 예능 프로그램"
"63"	"2017-01-30"	"`복면가왕` 베짱이, 폭풍 성량 \"감성 짙은 감동, 대박이야!\""	"사진=MBC 복면가왕 캡처 '복면가왕' 베짱이 유성은이 폭풍 성량을 자랑했다. 지난 29일 방송된 MBC 예능프로그램 '일밤-복면가왕' 가왕후보결정전에서는 \"'복면가왕'을 통해 제가 누군지 몰라도 잘한다는 말을 듣고 싶었다\"고 솔직한 속내를 드러냈다."
"64"	"2017-01-30"	"[TF설특집] 조인성부터 박보검까지…올해는 나의 해, 닭띠 ★들"	"93년 닭띠해에 태어난 스타들. 배우 박보검과 가수겸 탤런트 아이유, 배우 서강준은 오무 93년에 태어났다. /더팩트 DB 조인성·강동원·전지현·이동욱·..'안투라지'에 이어 SBS 예능 '정글의 법칙'까지 접수한 서강준은 다음 작품을 놓고 고심 중이다."
"65"	"2017-01-30"	"[피플IS] 윤두준, 정유년 예능복 터졌다 '열일하는 남자'"	"..예능에서도 복스러운 먹방을 이어간다...예능 MC로 도전한 윤두준은 매회 각..'나혼자산다'에 이기광 편에 출연해서도 남다른 삼겹살 먹방으로 웃음을 안긴 바 있다. 닭, 삼겹살 통 구이 등 다양한 요리에 도전 중이다\"라며 쿡방 도전에 설레는 마음을 드러냈다."
